generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,22,46,0.4782608695652174,75.77608695652155,255.1799999999997,61.739999999999874,59.07211387062312,106,14,76,1.4808104124962929,1.3841386231355983,1.3359064160195924,0.46348487750512496,30.369565217391305
1,260,20,52,0.38461538461538464,64.74711538461528,357.9000000000011,18.519999999999964,55.979417664612285,104,20,162,1.4800353901874799,1.4347520062961527,1.2892596105313012,0.5361000131291977,123.01923076923077
2,260,16,45,0.35555555555555557,57.89599999999987,228.64999999999972,18.52000000000001,47.15817097274392,70,13,103,1.3798491328234934,1.415833438815526,1.33566723323393,0.5508936701450784,283.46666666666664
3,260,36,52,0.6923076923076923,88.5784615384614,326.8999999999996,58.734999999999914,51.20377512673239,143,20,110,1.3581194837183852,1.4063501567637273,1.3468429101869956,0.5602822197082972,559.3653846153846
4,260,33,52,0.6346153846153846,83.51634615384602,377.8000000000008,69.97499999999988,53.517801761601916,118,20,82,1.3753732842130286,1.4201890990846713,1.3374482352949455,0.574924837407975,901.9423076923077
5,260,21,42,0.5,61.30380952380939,203.0999999999997,42.87499999999988,58.198151976881384,81,10,103,1.3424054572120634,1.4085413112611878,1.343979846832998,0.5601334635228563,1217.3809523809523
6,260,38,61,0.6229508196721312,88.15754098360648,379.95000000000164,33.05999999999975,53.22156489879486,138,29,90,1.3480372339994433,1.406233789485351,1.3436100312386896,0.5513930567163775,1696.5573770491803
7,260,41,64,0.640625,89.61437499999985,350.68999999999977,49.32999999999987,49.078145769867824,131,32,78,1.3497962330465887,1.4068755502631225,1.3632517528091028,0.5457117634890621,2180.96875
8,260,28,62,0.45161290322580644,71.73596774193531,265.9499999999996,53.09499999999988,45.026361383767394,108,30,86,1.346625750210543,1.4049189363279004,1.3762736009929162,0.5485650487269538,2752.5806451612902
9,260,25,42,0.5952380952380952,73.09452380952364,286.3999999999996,74.89999999999982,52.72791338990778,91,10,87,1.3472776356296359,1.405424380846739,1.377912819263173,0.5503410194383824,3069.0
10,260,44,69,0.6376811594202898,89.53318840579695,364.3599999999996,88.52999999999979,38.28553035984435,116,37,45,1.3658401701582812,1.4053499449364586,1.3814119119352632,0.5496494900592563,3885.391304347826
11,260,33,58,0.5689655172413793,80.89017241379297,279.6099999999997,65.14999999999995,62.73348955170107,124,26,112,1.3652835018249445,1.401919937130582,1.3806447367220636,0.5441538482037573,4478.862068965517
