generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,51,68,0.75,113.55397058823517,438.8000000000019,86.14499999999987,55.502845647164214,193,36,21,1.4386362902601242,1.317865140828649,1.3423581494364036,0.43363885351411907,48.970588235294116
1,260,43,60,0.7166666666666667,105.23583333333315,332.70000000000095,76.27499999999986,47.37779818841072,162,28,43,1.5865704341297568,1.4141547371111263,1.4109137306865807,0.42218519384092035,182.61666666666667
2,260,62,85,0.7294117647058823,114.37376470588218,549.7500000000014,84.61999999999978,57.19925100394057,240,53,44,1.632095773668866,1.387065513442548,1.3868707857853475,0.4316113832328083,536.8941176470588
3,260,67,89,0.7528089887640449,118.06044943820211,548.8000000000003,91.89999999999988,61.946071926599366,272,57,57,1.6076727271321343,1.3728064378083153,1.4142242068876616,0.4288571475298366,1148.9887640449438
4,260,54,71,0.7605633802816901,107.75577464788722,443.80000000000086,83.26999999999995,58.23754942747923,211,39,79,1.6399963512174591,1.3524685218804287,1.42723921744798,0.4312159972132391,1783.5633802816901
5,260,43,58,0.7413793103448276,109.30586206896537,410.15000000000055,85.98999999999985,61.14899796859932,176,26,51,1.6389512524709522,1.3499180344535564,1.4401317685677233,0.4368584230467778,2385.206896551724
6,260,52,66,0.7878787878787878,121.05181818181799,334.9499999999996,92.57999999999984,65.59102222232264,208,34,18,1.6168051265505234,1.3489073016067532,1.4306615710409234,0.4433238261573475,3019.318181818182
7,260,52,66,0.7878787878787878,104.96863636363622,427.2999999999998,70.5199999999999,54.472967315059286,181,34,77,1.6105125348438702,1.3379762114914255,1.4462377741589316,0.4478969658663617,3876.090909090909
8,260,73,94,0.776595744680851,118.75914893617012,544.6000000000018,81.10999999999999,69.48455102918895,288,62,54,1.601096783466035,1.3411527531224485,1.4655276008467695,0.4556324525551757,4934.734042553191
9,260,51,67,0.7611940298507462,111.17626865671626,387.14999999999964,104.59999999999985,70.11292557354723,199,35,53,1.5918401773208741,1.3462214894042048,1.4650816492775631,0.4417799994394535,5541.865671641791
10,260,69,90,0.7666666666666667,110.91199999999989,492.80000000000143,101.54499999999987,68.59646621959224,262,58,74,1.6194034766045864,1.3449550106568253,1.4788618791080883,0.44179378835829936,6293.266666666666
11,260,74,103,0.7184466019417476,108.0699029126212,415.28999999999974,90.49999999999984,46.82523658971664,246,71,60,1.6201867025499204,1.3515981758815703,1.4903922979327806,0.4481388258044998,7098.582524271845
