scenario,seed,generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states,fitness_delta,survival_delta,q_states_delta
baseline,3211,11,260,40,68,0.5882352941176471,97.0082352941175,321.64999999999975,67.16999999999973,55.46047879762655,201,36,112,1.8090721529407587,1.183414862245494,1.4284462398965045,0.3957307798668875,4536.279411764706,34.76506456241031,0.22238163558106172,4511.133070301292
baseline,3212,11,260,45,60,0.75,102.4483333333332,329.6999999999996,82.37999999999982,52.23320280969308,163,28,72,1.6210572234761393,1.498612666747954,1.412677882422728,0.5576488968155274,5319.583333333333,40.8871138211382,0.3353658536585366,5290.632113821138
baseline,3213,11,260,34,52,0.6538461538461539,82.7261538461537,340.7499999999998,47.155,54.97669562295469,128,20,94,1.348393093663448,1.2620471843791057,1.4743233655115948,0.4941217208426478,5029.846153846154,7.6679185520362125,0.222473604826546,4997.336349924585
low_mutation,3211,11,260,27,45,0.6,90.53044444444426,256.49999999999955,85.16999999999976,69.32193963243493,130,13,76,1.564701823057306,1.265384095364116,1.4946676870880793,0.42825721006768974,4405.2444444444445,25.1618397932816,0.1581395348837209,4376.407235142119
low_mutation,3212,11,260,33,58,0.5689655172413793,80.89017241379297,279.6099999999997,65.14999999999995,62.73348955170107,124,26,112,1.3652835018249445,1.401919937130582,1.3806447367220636,0.5441538482037573,4478.862068965517,5.114085457271415,0.09070464767616193,4448.492503748126
low_mutation,3213,11,260,17,36,0.4722222222222222,60.94777777777766,183.49999999999963,28.189999999999994,68.52591927864593,82,4,115,1.3576496827075457,1.4532033861360336,1.405874321214566,0.5287728669477565,5039.777777777777,-25.297676767676776,-0.12777777777777777,4998.959595959595
high_mutation,3211,11,260,20,45,0.4444444444444444,77.17333333333319,336.69999999999993,25.880000000000003,75.0710961962065,125,13,124,1.6008204790174352,1.4445704077355417,1.4309074851581736,0.4005496143073248,4730.444444444444,16.677583333333303,-0.005555555555555591,4708.094444444444
high_mutation,3212,11,260,38,63,0.6031746031746031,84.36825396825382,242.29999999999959,71.4999999999999,55.18098854948215,159,31,149,1.857892376805407,1.6302194269141177,1.4803377035496126,0.4691709843619049,5662.063492063492,22.714920634920645,0.2222222222222222,5633.492063492064
high_mutation,3213,11,260,30,55,0.5454545454545454,78.03309090909079,386.09999999999957,32.90999999999983,58.042672275184124,118,23,101,1.3571415420574644,1.339726362047934,1.4592726318161875,0.49723018890295445,4398.018181818182,-9.47954066985642,-0.10366826156299846,4359.667304625199
low_hazard,3211,11,260,42,68,0.6176470588235294,100.86338235294102,380.7999999999996,75.63999999999987,54.614374973627434,186,36,71,1.4797215662350884,1.3028645899841798,1.3770073945632673,0.46580169503036106,6360.235294117647,2.057242002064001,0.03869969040247678,6315.814241486068
low_hazard,3212,11,260,33,59,0.559322033898305,81.31118644067779,266.0499999999996,54.51999999999994,36.3581473465528,105,27,39,1.1306601210559561,1.2482480362464656,1.3162359785589344,0.5455997831155134,4750.64406779661,6.335586440677957,0.11932203389830504,4719.90406779661
