generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,24,57,0.42105263157894735,76.50508771929813,417.95000000000067,41.220000000000006,63.84212205416069,148,25,115,1.560864707267853,1.260553311184283,1.265192546495689,0.4386202943468126,41.78947368421053
1,260,28,65,0.4307692307692308,82.65584615384604,421.20000000000124,53.25999999999999,52.8187679275735,173,33,121,1.52536443860441,1.325982590613643,1.2515361405968581,0.4417595840977295,193.44615384615383
2,260,28,56,0.5,76.3110714285713,362.2999999999996,37.19499999999983,44.92071542814764,128,24,111,1.4750556722689583,1.3302135437899019,1.2261966807428808,0.4791279362978767,457.42857142857144
3,260,28,55,0.509090909090909,88.3103636363635,339.5000000000002,53.209999999999894,61.29194552092292,160,23,109,1.4784689617018358,1.3618500008881984,1.2205758234133128,0.48959516120921787,815.9454545454546
4,260,29,64,0.453125,77.14234374999987,302.0999999999997,59.854999999999876,43.034418977550544,140,32,95,1.525319392123122,1.3915930360756543,1.2274055302163016,0.49571587716708954,1400.453125
5,260,22,51,0.43137254901960786,71.1949019607842,377.2500000000001,27.160000000000004,55.99909037772918,97,19,76,1.5383977366238386,1.3962088576305538,1.2237931161254916,0.48738946222592655,1978.5686274509803
6,260,44,69,0.6376811594202898,89.62985507246363,316.6499999999995,51.14000000000001,51.81735345177717,188,37,152,1.557341754321103,1.412344674424169,1.2361728300253583,0.4799705683021595,2599.8985507246375
7,260,40,70,0.5714285714285714,88.42814285714272,336.4299999999996,59.52999999999985,41.28815927622153,164,38,103,1.5596707597059303,1.4098027774882824,1.2175250173077141,0.47565921304423986,3290.214285714286
8,260,26,60,0.43333333333333335,71.71383333333324,329.50000000000085,30.17499999999997,56.53041464931383,133,28,134,1.5732627581929859,1.3940762699026665,1.2309413094034225,0.48150214542873193,3966.2833333333333
9,260,23,51,0.45098039215686275,71.45901960784299,232.24999999999963,42.92,52.51884582149291,121,19,125,1.5451948326674119,1.3697618053411909,1.2421809352873872,0.4808686795959533,4585.411764705882
10,260,27,53,0.5094339622641509,74.4286792452829,239.99999999999966,64.21000000000001,45.23152226818193,111,21,73,1.540854392780007,1.3773634330317182,1.256379002777382,0.48632319467766977,5165.188679245283
11,260,27,51,0.5294117647058824,73.74098039215671,301.3499999999997,49.18000000000001,46.83201673537336,108,19,74,1.5288588725113765,1.3759665134733419,1.2525186466375717,0.4905676913307792,5589.705882352941
