generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,27,49,0.5510204081632653,79.57755102040804,337.55000000000126,70.79999999999978,58.36603549491519,117,17,89,1.3564012648458117,1.2827478751410692,1.4065851200066029,0.5090881722267697,28.816326530612244
1,260,21,40,0.525,61.402999999999835,178.44999999999956,53.56499999999985,48.85635730267026,76,8,99,1.3333816674403856,1.2995210894576075,1.551579468878073,0.49130909523976013,98.975
2,260,27,47,0.574468085106383,75.60382978723388,304.1999999999996,70.52999999999975,61.194149016946525,103,15,78,1.3332408321105804,1.2304436719353196,1.4842349243628885,0.4915344743026898,244.68085106382978
3,260,21,39,0.5384615384615384,67.09794871794854,168.9999999999997,72.38999999999973,55.12908479953281,74,7,59,1.2678523043771177,1.2254096826641268,1.4671826543318836,0.5001868113466943,397.8205128205128
4,260,21,41,0.5121951219512195,73.59219512195104,291.1999999999996,73.44999999999975,67.59243056092157,97,9,72,1.2806173606647968,1.2416672949397562,1.4637558378433446,0.4807087403798069,702.6585365853658
5,260,23,41,0.5609756097560976,62.90658536585353,309.74999999999955,21.340000000000003,50.30124121292288,74,9,75,1.265422440961593,1.2256563488599044,1.475876012284318,0.46600439675850003,1006.4146341463414
6,260,21,37,0.5675675675675675,63.11864864864849,182.19999999999956,33.499999999999645,61.66405129527034,68,5,67,1.230156232610339,1.2111403690767986,1.4877156695982363,0.4841245105068939,1357.3783783783783
7,260,31,53,0.5849056603773585,83.76301886792439,313.00000000000085,88.39999999999978,47.77077230701535,101,21,53,1.2711954878884237,1.2339586711115214,1.500469186841736,0.48884253664897737,1936.301886792453
8,260,25,43,0.5813953488372093,73.08558139534864,248.54999999999959,84.84999999999984,53.91833434900495,87,11,69,1.273480546054142,1.2161657836546274,1.4993901037876856,0.4915992048315846,2274.2093023255816
9,260,20,38,0.5263157894736842,68.95710526315773,204.62999999999965,68.1549999999998,69.16872752612367,72,6,52,1.2627938391455438,1.1954579352467745,1.5192964043402022,0.4827569276739558,2647.4210526315787
10,260,27,41,0.6585365853658537,78.85097560975592,307.3999999999996,72.44999999999975,58.04321506397332,78,9,29,1.2593669354186228,1.174585779199903,1.5028615048520848,0.47590434505933216,3012.0975609756097
11,260,25,34,0.7352941176470589,77.56735294117625,195.19999999999973,89.54999999999967,62.03661614690304,69,2,22,1.2563946188181774,1.1790686579847456,1.4968023226988163,0.47038066171228865,3298.0
