generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,19,46,0.41304347826086957,58.044130434782474,221.49999999999955,22.12499999999987,61.72363137249312,99,14,118,1.4733562628622625,1.3906612606414475,1.3643950698944087,0.49688643772991425,31.065217391304348
1,260,23,46,0.5,68.00760869565201,245.09999999999968,65.0499999999999,40.3096907687645,85,14,107,1.6324165591020274,1.395383306635098,1.3098725774588784,0.4797370547515388,126.34782608695652
2,260,13,38,0.34210526315789475,42.53026315789465,163.64999999999972,11.694999999999972,66.98514149310815,49,6,107,1.6651380030613612,1.394741516301438,1.3141561262846921,0.4254457155154683,245.3421052631579
3,260,16,41,0.3902439024390244,42.565121951219396,201.8999999999996,3.1500000000000057,39.04290667759787,80,9,168,1.6978027298970444,1.396093894502724,1.4263813685766,0.4108335155115221,444.5853658536585
4,260,23,51,0.45098039215686275,64.44294117647047,309.9499999999996,24.060000000000002,56.402790973610614,109,19,147,1.6925941677171619,1.435311453290297,1.4092367093613116,0.3994006979782227,817.3529411764706
5,260,42,71,0.5915492957746479,85.13647887323931,349.9499999999996,25.700000000000003,46.06699008862708,201,39,203,1.6574187327406587,1.453223954891181,1.4038945871699249,0.3849006269648255,1277.394366197183
6,260,19,41,0.4634146341463415,59.28243902439012,207.34999999999968,17.74000000000001,66.68478014108605,91,9,159,1.6575671265023821,1.4682548997820986,1.393670043759996,0.3898082329874075,1667.9024390243903
7,260,17,42,0.40476190476190477,46.22404761904749,222.5299999999997,0.6750000000000018,46.178996251897544,72,10,171,1.6650266673333423,1.4767975829504172,1.3865763887413851,0.3933065717705742,2129.1190476190477
8,260,27,51,0.5294117647058824,64.70999999999987,261.3499999999997,44.160000000000004,46.93435641020669,107,19,162,1.6785220623085,1.4985448176069456,1.3905350186486245,0.39289656869417744,2597.627450980392
9,260,34,56,0.6071428571428571,81.58249999999987,317.2999999999996,63.29999999999998,52.884475052273196,148,24,160,1.6923002781600243,1.5049082716861635,1.3938816754033578,0.39605434698173314,3131.0714285714284
10,260,19,57,0.3333333333333333,63.003157894736695,283.09999999999957,7.090000000000005,47.470493691000065,98,25,151,1.7103339443290408,1.4969498512966006,1.3977018265211196,0.3909417646183611,3558.754385964912
11,260,25,54,0.46296296296296297,68.3457407407406,316.7499999999996,26.635,51.77014552052725,114,22,166,1.7219816607179657,1.4986464793884497,1.3975403974276848,0.3913998464052811,4019.3888888888887
