generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,22,51,0.43137254901960786,75.05823529411748,256.9499999999996,35.150000000000006,58.33789279871342,110,19,70,1.3148921920896222,1.2652831719047937,1.4234495814894892,0.526226133899859,32.509803921568626
1,260,29,54,0.5370370370370371,81.45944444444432,322.1999999999996,55.90499999999987,50.21066722212175,136,22,91,1.2969434119402867,1.2138824513775774,1.494177030418015,0.5017467865568455,134.5
2,260,44,68,0.6470588235294118,96.02852941176454,340.4999999999999,76.11499999999992,52.14360322394059,165,36,54,1.315400736764822,1.2497611646310964,1.4857764557466935,0.4971566070048103,392.79411764705884
3,260,24,48,0.5,73.4016666666665,225.49999999999957,71.9049999999998,55.04858392199918,96,16,78,1.3660269707942572,1.2829479242319732,1.4836300941490717,0.47604427765245694,716.3958333333334
4,260,31,55,0.5636363636363636,83.18381818181803,285.4499999999996,63.49999999999978,49.164411421235386,118,23,92,1.3588944429028285,1.2675240834785237,1.4852419585328402,0.4895238004276306,1182.8909090909092
5,260,30,59,0.5084745762711864,78.0486440677965,373.2500000000001,25.540000000000003,51.50089843585263,129,27,104,1.378562731897339,1.2826209615355346,1.473640669233859,0.47080796488614457,1723.864406779661
6,260,38,62,0.6129032258064516,83.96241935483857,380.6000000000004,32.08999999999996,54.14634986679957,155,30,117,1.3634719360512064,1.3191205313361818,1.4762021132992003,0.47110269877411404,2367.1612903225805
7,260,38,52,0.7307692307692307,95.37192307692291,263.3499999999998,79.09999999999974,57.15458029388058,147,20,72,1.347196914486044,1.3166179245309604,1.4628139842605004,0.4726642916845597,2906.826923076923
8,260,32,52,0.6153846153846154,84.99346153846139,311.80000000000007,64.24999999999984,58.8593392628799,116,20,74,1.3226683029023327,1.2940473922519402,1.471756290047067,0.47231930314150233,3427.230769230769
9,260,33,52,0.6346153846153846,90.59134615384602,278.4399999999997,48.155,54.44033569977799,131,20,76,1.3176277030308332,1.2969151423760557,1.4446573810586993,0.48705473154155227,3920.0384615384614
10,260,29,42,0.6904761904761905,85.50404761904744,233.9499999999996,82.56499999999981,59.73692410468727,117,10,74,1.3250563966058837,1.2899854248323517,1.4595234816035632,0.4898436580077937,4397.285714285715
11,260,34,52,0.6538461538461539,82.7261538461537,340.7499999999998,47.155,54.97669562295469,128,20,94,1.348393093663448,1.2620471843791057,1.4743233655115948,0.4941217208426478,5029.846153846154
