generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,8,40,0.2,36.6167499999999,193.7999999999996,0.1,44.9470013127565,59,8,101,1.6233438954322579,1.192290166623227,1.2405440774661762,0.46854884555062537,22.175
1,260,9,45,0.2,47.57644444444433,319.8499999999996,0.439999999999948,53.1635498595759,79,13,107,1.6715059637077394,1.1404521637273464,1.207872312858932,0.49957017007558663,112.71111111111111
2,260,13,42,0.30952380952380953,51.17238095238082,205.64999999999964,23.049999999999937,54.96728017942105,68,10,83,1.7933150791169168,1.216534301267557,1.3035244670649735,0.4964585136402972,276.2142857142857
3,260,22,48,0.4583333333333333,70.8608333333332,281.3499999999998,27.160000000000004,53.793102960301546,122,16,106,1.747998517110276,1.2149925527364085,1.3356582874027394,0.4856686850282806,514.8958333333334
4,260,27,57,0.47368421052631576,68.97491228070163,309.24999999999966,42.57000000000001,50.01714187273252,141,25,184,1.7497336094946514,1.2523088657692811,1.3424092264984813,0.48288633290660654,944.1228070175439
5,260,26,51,0.5098039215686274,76.71372549019593,305.2999999999996,58.76999999999979,48.206640546203715,119,19,89,1.7299074958197826,1.2776565907031345,1.3558351386807452,0.4795791158344793,1304.862745098039
6,260,17,43,0.3953488372093023,53.043953488372,321.6499999999998,2.730000000000004,53.49373383039307,89,11,143,1.7166316455918949,1.2878172468635776,1.3644785132345496,0.4780612738385504,1629.0697674418604
7,260,13,45,0.28888888888888886,44.0537777777777,279.2999999999997,0.1,63.093292888254396,77,13,153,1.7065750094926093,1.2907559156599562,1.3949530152271175,0.4780743643918819,1934.7555555555555
8,260,20,41,0.4878048780487805,66.05512195121938,227.9999999999996,28.350000000000005,41.60365846026008,99,9,114,1.7006112807648073,1.2822695350046611,1.3926053043936593,0.49190114042734756,2174.7804878048782
9,260,12,42,0.2857142857142857,42.435476190476074,193.94999999999962,7.539999999999966,44.38696919172844,76,10,137,1.6939588725461896,1.2696625212988155,1.3911911591672073,0.4971862134363285,2490.2619047619046
10,260,13,42,0.30952380952380953,44.57476190476181,237.5999999999996,0.500000000000002,56.885533590839586,97,10,176,1.6583906687759309,1.271941107094315,1.3906180394166818,0.5003739330248337,2931.1428571428573
11,260,27,48,0.5625,78.00812499999984,256.2999999999996,51.994999999999784,56.13849009409314,132,16,135,1.6532592596140538,1.297207262343651,1.3950898065129558,0.49720963265055396,3501.3541666666665
