generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,17,41,0.4146341463414634,61.561219512194995,229.4499999999996,33.32000000000001,67.44846356457897,78,9,69,1.4952140374770475,1.3816859135210646,1.360983640508845,0.4575153446853032,28.951219512195124
1,260,43,64,0.671875,89.95124999999985,314.89999999999964,73.93999999999991,49.03413325293744,165,32,113,1.5605614410612545,1.512222097519377,1.3785677880247869,0.5036386910766351,155.578125
2,260,34,51,0.6666666666666666,82.26745098039197,246.6999999999998,70.14999999999998,54.9748725944677,105,19,58,1.5666679674640818,1.4967183880419248,1.4029221717809872,0.5142285952257675,381.4117647058824
3,260,39,63,0.6190476190476191,92.51317460317446,319.8199999999997,66.84,52.3737712411389,146,31,90,1.5670002487226207,1.4797086634274166,1.404949560680022,0.5248743097894124,779.1269841269841
4,260,27,51,0.5294117647058824,82.32921568627435,294.09999999999957,82.76999999999987,68.02391776896319,125,19,113,1.5888304136097278,1.4713075690792805,1.417120737564224,0.5226352357832137,1227.686274509804
5,260,23,43,0.5348837209302325,71.51813953488355,218.2999999999996,41.03999999999971,50.7067682746187,104,11,115,1.5930192026550856,1.4567618172315044,1.4053950760972476,0.5236907355195116,1834.9302325581396
6,260,33,54,0.6111111111111112,75.29833333333319,261.8499999999997,43.75999999999988,43.65865905699741,108,22,117,1.5986727366724167,1.4667895800551638,1.413231201900543,0.5246348116028281,2425.5185185185187
7,260,38,61,0.6229508196721312,83.42983606557361,264.7499999999997,75.53,48.069786505785046,140,29,123,1.610650131517407,1.4797275154509395,1.4206845876824135,0.5401973027921269,2860.8524590163934
8,260,56,70,0.8,101.23028571428559,416.9500000000007,71.33499999999988,44.24922704784381,148,38,34,1.601832577787108,1.4921531448758603,1.4150504603559253,0.54779353934681,3287.2428571428572
9,260,44,69,0.6376811594202898,90.25028985507237,377.2000000000002,64.78,51.18982268891563,191,37,157,1.6034755367070834,1.495217875258364,1.404963816111998,0.5458637914957533,3940.7246376811595
10,260,52,86,0.6046511627906976,92.58418604651152,431.050000000002,56.324999999999974,44.5471141019367,213,54,169,1.619262625768043,1.5047656078374816,1.4127529965089614,0.5506223276720097,4728.767441860465
11,260,45,60,0.75,102.4483333333332,329.6999999999996,82.37999999999982,52.23320280969308,163,28,72,1.6210572234761393,1.498612666747954,1.412677882422728,0.5576488968155274,5319.583333333333
