generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,33,57,0.5789473684210527,98.80614035087702,381.09999999999985,85.2799999999997,46.93773697913527,163,25,41,1.404023301269329,1.1925040184933287,1.286053555017791,0.5262128294992764,44.421052631578945
1,260,27,53,0.5094339622641509,85.4773584905659,294.64999999999975,51.17999999999998,50.823509538988404,130,21,53,1.4426487368663565,1.2377588726875044,1.2635929067643197,0.5040626805107264,147.16981132075472
2,260,56,80,0.7,102.09112499999988,458.7500000000017,71.16499999999988,53.60854659945242,196,48,56,1.4579280117338143,1.2868398099036984,1.3037651817683011,0.484895754074177,401.0625
3,260,40,53,0.7547169811320755,105.36056603773567,334.2999999999997,107.24999999999983,60.284943090902324,148,21,13,1.4781362925545949,1.2861911329067017,1.2949389043713926,0.4854926583056826,772.1132075471698
4,260,46,60,0.7666666666666667,102.40499999999982,289.2499999999998,96.58999999999986,58.96977411555622,154,28,44,1.4688754270419415,1.2827825092754574,1.3085157862124612,0.4883058526031308,1345.4333333333334
5,260,37,51,0.7254901960784313,103.1464705882351,246.99999999999957,120.6099999999998,63.57558740708952,149,19,43,1.4753624681344095,1.2738751161383388,1.3354757731364402,0.486804246606187,1869.2549019607843
6,260,43,61,0.7049180327868853,101.01114754098347,352.0999999999999,59.83999999999989,48.04833065614083,168,29,65,1.4886851853333616,1.288044549002198,1.3599326209076934,0.48768703860274965,2549.754098360656
7,260,31,57,0.543859649122807,78.68789473684194,265.34999999999957,69.29999999999991,42.29956849843996,118,25,89,1.500110130060246,1.2971105243057321,1.3582216688044488,0.4830403005714086,3289.8245614035086
8,260,71,97,0.7319587628865979,107.47865979381429,384.6900000000011,91.29999999999978,50.96936020648644,245,65,75,1.4848781484411304,1.306004651274508,1.3799855431716725,0.4869153087123112,4188.835051546392
9,260,38,65,0.5846153846153846,97.16076923076905,337.69999999999965,83.34999999999977,52.6712003894161,139,33,21,1.4823130364202914,1.306615370705981,1.3673677884534166,0.48289608494312547,5018.692307692308
10,260,70,88,0.7954545454545454,119.84727272727262,466.0000000000015,87.6599999999998,60.646428256217746,279,56,68,1.483953612426936,1.2828112437496098,1.3649745793109391,0.48411886331945825,5750.875
11,260,42,68,0.6176470588235294,100.86338235294102,380.7999999999996,75.63999999999987,54.614374973627434,186,36,71,1.4797215662350884,1.3028645899841798,1.3770073945632673,0.46580169503036106,6360.235294117647
