generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,16,42,0.38095238095238093,61.65333333333318,216.09999999999957,44.874999999999865,58.04763801734651,70,10,73,1.499920071198955,1.3783862117791488,1.3530904487530069,0.4657507299384309,28.571428571428573
1,260,30,48,0.625,84.8391666666665,256.3999999999996,84.99499999999982,62.897522039710104,120,16,83,1.5426271784252232,1.3918336197507442,1.32114039901313,0.39692155556255776,126.0625
2,260,38,58,0.6551724137931034,86.84931034482744,418.60000000000025,83.92999999999978,57.516958234981054,134,26,83,1.6377545128252142,1.517415100635165,1.3359986778698503,0.4487753061342007,388.7068965517241
3,260,37,62,0.5967741935483871,84.3808064516128,495.9000000000005,26.465000000000003,59.612947584389715,141,30,110,1.6910998979594685,1.5707828449099537,1.391095803924118,0.4618186959417465,741.0806451612904
4,260,40,58,0.6896551724137931,86.0074137931033,266.7999999999996,78.0549999999999,43.96817312148676,130,26,131,1.7212837510812362,1.5911402304137843,1.406314364827188,0.45915288657169906,1219.9655172413793
5,260,45,60,0.75,97.75399999999986,354.9000000000001,78.50999999999976,55.591943747281846,166,28,91,1.771510375153728,1.5715883958706116,1.4402077168877516,0.46915367961140997,1851.2833333333333
6,260,35,58,0.603448275862069,81.49068965517232,303.60000000000036,41.78999999999985,62.801706299882646,166,26,227,1.7692624356791475,1.6151654128453028,1.459723808901629,0.4523618337137698,2507.6206896551726
7,260,40,63,0.6349206349206349,94.7815873015872,427.8000000000009,63.18999999999986,66.32528434389636,173,31,145,1.794180316679936,1.63047038833245,1.4727996573550324,0.4735834805303238,3122.5396825396824
8,260,86,109,0.7889908256880734,105.4008256880733,426.5500000000006,53.35999999999994,58.17154507970981,281,77,157,1.7876356835919407,1.6303395255666917,1.4696809699673474,0.48154847871371426,3830.302752293578
9,260,43,71,0.6056338028169014,81.50718309859143,326.4499999999996,35.56999999999964,49.166430465325945,167,39,234,1.8446080442142694,1.632212937703396,1.4780494753160207,0.4677124795063518,4459.492957746479
10,260,33,56,0.5892857142857143,81.26410714285701,348.0499999999996,60.51499999999987,62.88539501618614,118,24,114,1.8478260656463046,1.6292963198428703,1.4885788193146599,0.45740429413427286,5015.964285714285
11,260,38,63,0.6031746031746031,84.36825396825382,242.29999999999959,71.4999999999999,55.18098854948215,159,31,149,1.857892376805407,1.6302194269141177,1.4803377035496126,0.4691709843619049,5662.063492063492
