generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,19,43,0.4418604651162791,65.36860465116266,362.60000000000014,28.839999999999925,52.776055473373674,101,11,115,1.5398994545382438,1.243917058488778,1.2862292947740157,0.44615387729699424,28.837209302325583
1,260,24,50,0.48,71.16659999999985,294.0999999999996,38.54999999999974,58.03330057734047,119,18,109,1.644536546741823,1.2742235228413918,1.3980408178791874,0.469963823734809,134.28
2,260,37,56,0.6607142857142857,94.41624999999986,301.2999999999996,49.61499999999999,44.25216972379374,163,24,102,1.6233707701411133,1.298468166269054,1.4244822946562525,0.4593664459759457,316.7857142857143
3,260,30,56,0.5357142857142857,71.58035714285704,400.7500000000005,21.910000000000004,46.659055021367735,116,24,127,1.5632480350599676,1.2721727970167127,1.431443675755008,0.4415606364914803,599.0535714285714
4,260,17,45,0.37777777777777777,69.40977777777763,304.3499999999996,34.13999999999986,68.25537522143021,132,13,125,1.5412534570032967,1.279222304684478,1.4397757438419783,0.42912192219690276,933.6666666666666
5,260,27,47,0.574468085106383,89.28765957446794,268.09999999999957,90.69999999999978,65.91985464703679,142,15,86,1.555648467867838,1.2861451957822057,1.457965573411282,0.4267757249276892,1398.7659574468084
6,260,24,51,0.47058823529411764,65.62098039215675,243.59999999999965,33.41000000000001,53.24201634282408,96,19,117,1.5511200399959777,1.284898387873015,1.4694872029801749,0.4238862277522812,1850.5882352941176
7,260,36,62,0.5806451612903226,92.04322580645147,320.1100000000001,55.1899999999999,62.52952554628564,174,30,92,1.563156705509061,1.2850145051269728,1.4585356808258347,0.4328030984799476,2526.483870967742
8,260,32,45,0.7111111111111111,93.96577777777757,339.8499999999999,91.55999999999969,61.732127151590895,142,13,84,1.5661307154003983,1.2786075623718556,1.4666418647956108,0.4274750581509112,2969.9777777777776
9,260,22,43,0.5116279069767442,83.79511627906957,263.4499999999996,78.96999999999967,69.24802235478347,130,11,82,1.5643087458382612,1.2781823945533324,1.4754036710147709,0.4254291863951672,3309.4883720930234
10,260,52,84,0.6190476190476191,98.34261904761885,374.2000000000004,81.51999999999992,45.58717630205745,197,52,88,1.5641495614518754,1.2715038195772739,1.4875946250220984,0.42547155252523844,3975.5119047619046
11,260,27,45,0.6,90.53044444444426,256.49999999999955,85.16999999999976,69.32193963243493,130,13,76,1.564701823057306,1.265384095364116,1.4946676870880793,0.42825721006768974,4405.2444444444445
