generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,16,36,0.4444444444444444,57.90999999999984,248.44999999999968,31.254999999999896,57.03703261540553,81,4,74,1.5370748585937595,1.2343404670311264,1.2796931783832721,0.4557191512298682,19.555555555555557
1,260,30,46,0.6521739130434783,77.47434782608678,181.24999999999974,81.13999999999994,54.65927756760927,94,14,55,1.668780898981433,1.3039429803328546,1.3945236351039174,0.4267100016168169,92.97826086956522
2,260,26,42,0.6190476190476191,82.04857142857125,284.0499999999996,75.67499999999971,63.62045373738841,97,10,54,1.6857729449325498,1.2923101437423459,1.3822956899153187,0.46607894315285087,249.52380952380952
3,260,33,50,0.66,88.10679999999982,327.4500000000006,89.77499999999966,53.21931178833473,111,18,53,1.6624029991666256,1.289191386684884,1.4506887498869065,0.46105862865586567,525.04
4,260,24,38,0.631578947368421,72.05289473684195,193.44999999999956,72.34999999999974,64.8733559427505,89,6,103,1.6804774238107203,1.2882783774989826,1.4403408688492758,0.4541824698511226,788.3947368421053
5,260,38,49,0.7755102040816326,100.43265306122431,259.4499999999996,90.14999999999992,60.03535689411989,122,17,19,1.6910318918091407,1.2888023531984574,1.44938349503511,0.4491217968509186,1197.1224489795918
6,260,32,48,0.6666666666666666,81.98895833333319,247.39999999999975,73.99499999999978,64.77050894579149,119,16,92,1.6927544797527865,1.304145352288966,1.4533499523372904,0.4373892968645919,1652.3958333333333
7,260,21,44,0.4772727272727273,63.38499999999981,230.4499999999996,68.08999999999988,52.49703413154909,84,12,105,1.7022542345246527,1.329132004048896,1.4866210050207769,0.45130490610602875,2093.1136363636365
8,260,34,58,0.5862068965517241,78.76655172413777,307.24999999999955,68.41499999999988,49.588868565914765,118,26,84,1.6993377459849988,1.3280331948792237,1.4948159543031834,0.46126489113378155,2498.862068965517
9,260,33,58,0.5689655172413793,81.04017241379294,286.7999999999996,59.174999999999926,48.73500453312146,103,26,71,1.6878640342973625,1.3510775980319667,1.517195837017489,0.47929008070294676,3037.1724137931033
10,260,34,50,0.68,82.37639999999983,274.99999999999966,71.03499999999983,54.64742391099483,109,18,90,1.6705482476505127,1.3495236251541767,1.5374186561541274,0.4793239567439572,3461.2
11,260,16,41,0.3902439024390244,58.06073170731691,194.69999999999956,32.91999999999994,52.66786545455605,71,9,85,1.6387968338059353,1.3389346471778625,1.5255676753785883,0.4829192161625855,3800.6341463414633
